;figi;ticker;share_name;datetime;last_price;sell_flag;buy_flag;strategy_id;profit;currency
3628;BBG000BHJSC4;BBSI;Barrett Business Services Inc;2017-11-06;83.6948;0;1;sma;0;usd
3629;BBG000FRVHB9;VTR;Ventas REIT;2017-11-06;49.54;1;0;sma;0;usd
3630;BBG000HXJB21;IRBT;iRobot Corp;2017-11-06;66.9;1;0;sma;0;usd
3631;BBG004S683W7;AFLT;Аэрофлот;2017-11-07;160.8;1;0;sma;0;rub
3632;BBG000BCLBY5;ATRO;Astronics Corp;2017-11-07;32.6874;0;1;sma;0;usd
3633;BBG000G9W6L0;HUBG;Hub Group Inc;2017-11-07;44.95;0;1;sma;0;usd
3634;BBG000BKDWB5;ABG;Asbury Automotive Group Inc;2017-11-07;64.6;0;1;sma;0;usd
3635;BBG004S68598;MTLR;Мечел;2017-11-07;132.8;1;0;sma;0;rub
3636;BBG000BGGBT8;CSL;Carlisle Companies Incorporated;2017-11-07;103.376;0;1;sma;0;usd
3637;BBG0029SG1C1;KZOSP;ПАО «КАЗАНЬОРГСИНТЕЗ» - акции привилегированные;2017-11-07;7.65;0;1;sma;0;rub
3638;BBG000BBQCY0;AMD;AMD;2017-11-08;11.26;1;0;sma;0;usd
3639;BBG000DQBZJ7;ATGE;Adtalem Global Education Inc;2017-11-08;49.05;0;1;sma;0;usd
3640;BBG000BNGBW9;NOK;Nokia;2017-11-08;5.75;1;0;sma;0;usd
3641;BBG000CJ2181;RS;Reliance Steel & Aluminum Co;2017-11-09;80.1541;0;1;sma;0;usd
3642;BBG000K88H58;FCN;FTI Consulting Inc;2017-11-09;47.4;0;1;sma;0;usd
3643;BBG004S641N5;BURL;Burlington Stores Inc;2017-11-09;129.85;0;1;sma;0;usd
3644;BBG000C4GBR6;NTGR;NETGEAR Inc;2017-11-10;35.1033;0;1;sma;0;usd
3645;BBG003PGJHP5;TMHC;Taylor Morrison Home Corp;2017-11-10;23.88;0;1;sma;0;usd
3646;BBG004RVFCY3;MGNT;Магнит;2017-11-10;5005.0;1;0;sma;0;rub
3647;BBG000HL7499;WOR;Worthington Industries Inc;2017-11-10;39.6351;1;0;sma;0;usd
3648;BBG000QCW561;VEON;VEON;2017-11-13;2.6;1;0;sma;0;usd
3649;BBG000BMQPL1;KEY;KeyCorp;2017-11-13;19.21;0;1;sma;0;usd
3650;BBG000C734W3;REGN;Regeneron Pharmaceuticals;2017-11-14;321.0;1;0;sma;0;usd
3651;BBG000D9KWL9;MTB;M&T Bank;2017-11-15;180.38;0;1;sma;0;usd
3652;BBG000BPWGR1;NDSN;Nordson Corp;2017-11-15;132.2353;0;1;sma;0;usd
3653;BBG000BHBGN6;CLR;Continental Resources Inc;2017-11-15;58.9;0;1;sma;0;usd
3654;BBG000QY3XZ2;EXPE;Expedia;2017-11-16;106.32;1;0;sma;0;usd
3655;BBG0063GCHH8;SHAK;Shake Shack Inc;2017-11-16;40.82;0;1;sma;0;usd
3656;BBG000C8H633;MRO;Marathon Oil;2017-11-16;15.32;0;1;sma;0;usd
3657;BBG00658F3P3;SYF;Synchrony Financial;2017-11-16;33.13;0;1;sma;0;usd
3658;BBG000D7RKJ5;EIX;Edison International;2017-11-17;63.09;1;0;sma;0;usd
3659;BBG000CGC1X8;QCOM;Qualcomm;2017-11-17;60.1;0;1;sma;0;usd
