;amount_of_sma_rows
BBG000BD0TF8;2432
BBG000CS0D96;2431
BBG000Q1R1Y9;2241
BBG000D54JC4;59
BBG001K1CT23;0
BBG000VFX6Y4;196
BBG000BMH2Q7;2431
BBG000BRCHB4;275
BBG0019T5SG0;326
BBG006598YS8;1878
BBG000BWQTD0;185
BBG000NDV1D4;326
BBG000C6CFJ5;2433
BBG0044K5DM4;0
BBG001WTBC36;462
BBG000BDXGP9;2432
BBG002V87SD0;2284
BBG000F1ZSQ2;2442
BBG000BBDZG3;2432
BBG000BS9489;2432
BBG00JXPFBN0;894
BBG000HSLV70;462
BBG000DMFQS2;223
BBG000BDDN94;462
BBG007FG0C23;344
BBG0065XPGX9;1859
BBG000BRVP70;2432
BBG000PXDL44;2432
BBG00K7T3037;572
BBG000BG1DH3;2394
BBG000BMFNP4;275
BBG000BV4DR6;2432
BBG000PSXT64;2355
BBG00XKM1DC3;0
BBG000BDSLD7;85
BBG000CTQBF3;2433
BBG004S68758;2409
BBG000BF0K17;2433
BBG00172J7S9;163
BBG000BTGKK9;2428
BBG000BZJQL8;2432
BBG000BS9HN3;2431
BBG0077VNXV6;1575
BBG001JZPSQ2;462
BBG000FV1Z23;2432
BBG000BGXZB5;186
BBG000DZJVH0;2432
BBG000BGRY34;2444
BBG000BKH263;462
BBG000QW7VC1;2431
BBG00ZSDS6T8;52
BBG003981NS4;186
BBG00H2CS6K7;18
BBG000C41023;2432
BBG000L9CV04;2432
BBG000BBHXQ3;2432
BBG00B8N0HG1;326
BBG000BFVZ83;0
BBG000QY6FL3;18
BBG004TC84Z8;2416
BBG000BCCT76;59
TCS00A103X66;0
BBG000K4WS65;2429
BBG000BSBBP1;2425
BBG004S686N0;2409
BBG000BWQFY7;2433
BBG000P2TYL8;324
BBG008F2T3T2;1630
BBG000BG5BL8;2430
BBG001K61W36;326
BBG000BJF1Z8;2432
BBG000FQRVM3;2432
BBG0077SYZV6;461
BBG005PXTR70;462
BBG000P1K2X6;2432
BBG009DFHWG6;462
BBG00W0L8GW3;0
BBG000C4ZZ10;2432
BBG00M0X4584;65
BBG000G0Z878;2432
BBG00L9HLWV8;345
BBG000RJL816;2336
BBG000BGKTF9;2432
BBG000BJL3N0;2432
BBG000BQ4512;0
BBG0014XR0N5;1963
BBG000BH3GZ2;2432
BBG0028ZMP45;0
BBG000BLZRJ2;2432
BBG000F5VVB6;2432
BBG0084BBZY6;1621
BBG004731489;2481
BBG000BNY197;2432
BBG000P7S7L7;65
BBG000BS48J3;2432
BBG007FL7ZD2;1444
BBG000C2ZCH8;2432
BBG000BQGLS5;186
BBG000BV59Y6;2431
BBG0078W3NQ3;1478
BBG000BCQM58;0
BBG000BLNNH6;2434
BBG000BGPQW1;2432
BBG000C136Z8;462
BBG000BP1152;524
